"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-0.193309990400897,0.0483453017896007,-3.99852691461487,6.46605779823954e-05,-0.288088071360338,-0.0985319094414557
"ROI_percentuale",0.627289989949971,0.0159651435927466,39.2912212975627,2.25517848779624e-294,0.595991278059669,0.658588701840274
"integrazione_verticale",-0.326893042352466,0.0375432547853692,-8.7071044911071,4.1790364204677e-18,-0.40049435436856,-0.253291730336372
"ROE_percentuale",0.261217730735234,0.0112070217816113,23.3083985938035,3.84650417232254e-114,0.239247032892569,0.283188428577899
"ROS_percentuale",-0.114779204577438,0.0166717592646723,-6.88464862977338,6.51037650199248e-12,-0.147463194351669,-0.0820952148032071
"rendimento_dipendenti",-0.0720548518766946,0.00878124968275389,-8.20553502973592,2.89561251182271e-16,-0.0892699681868411,-0.054839735566548
"integrazione_verticale_fattBasso",0.0967726596419475,0.0413288079460836,2.34153038646056,0.0192440727059844,0.0157499964156797,0.177795322868215
"integrazione_verticale_fattMedio",0.200353059319343,0.0555514973699981,3.6066185216377,0.000313252904866876,0.0914476616849367,0.30925845695375
"integrazione_verticale_fattAlto",0.295727907836213,0.065741016292676,4.49837748962757,7.0031296133449e-06,0.166846566032624,0.424609249639801
"integrazione_verticale_fattMolto Alto",0.260850509002467,0.077440974315061,3.36837844964634,0.000761855398737209,0.109032097253724,0.41266892075121
"indice_indipendenza_finanziaria_percentuale",-0.0888491254991499,0.0114103602790035,-7.78670640774098,8.30905455025273e-15,-0.111218456339327,-0.0664797946589728
"indice_corrente",0.0464105615721536,0.00951244720842624,4.87892973861054,1.09987902968102e-06,0.0277619761198116,0.0650591470244956
"log_ricavi_vendite_migl_EUR",0.0388038316897464,0.00845592169650769,4.58895352658865,4.5641673043771e-06,0.0222265014948465,0.0553811618846464
"ROA_percentuale",0.0651218343223158,0.0180186932761274,3.61412635890718,0.000304338211653878,0.029797260746575,0.100446407898057
"valore_aggiunto_pro_capite_EUR",-0.0241075675408361,0.00917798913720528,-2.626672049884,0.00864884242197612,-0.042100467890835,-0.00611466719083709
"rapporto_indebitamento",0.0229479616621277,0.00694145839299074,3.30592799998626,0.000953325243218298,0.00933964645477525,0.0365562768694802
"incidenza_circolante_operativo_percentuale",0.0870577825471244,0.017486408524847,4.97859708718465,6.62073866621759e-07,0.0527767214820694,0.121338843612179
"giacenza_media_scorte_gg",-0.0692372591232323,0.0149626401998446,-4.62734238065495,3.79785033216555e-06,-0.0985706228986737,-0.0399038953477909
"durata_media_crediti_lordo_IVA_gg",-0.045919182005153,0.0132363268015473,-3.46917862437374,0.00052647459121436,-0.071868211316467,-0.0199701526938391
