Subset;Area;Dimensione;n;k_best;model;AIC;Moran_resid_p;BP_p;AD_p;best_by_AIC
Grande_Centro;Centro;Grande;509;40;GMM(err);;0,08;;7,30E-10;FALSO
Micro_Isole;Isole;Micro;;;OLS;;;;;
Micro_Isole;Isole;Micro;;;SAR(err);;;;;
Micro_Isole;Isole;Micro;;;SDM(mix);;;;;
Micro_Isole;Isole;Micro;;;GMM(err);;;;;
Piccola_Isole;Isole;Piccola;375;32;OLS;353,8;0,6;0;0,000000271;FALSO
Piccola_Isole;Isole;Piccola;375;32;SAR(err);355,58;0,41;;0,000000335;FALSO
Piccola_Isole;Isole;Piccola;375;32;SDM(mix);353,64;0,84;;0,000295;VERO
Piccola_Isole;Isole;Piccola;375;32;GMM(err);;0,6;;0,000000272;FALSO
Media_Isole;Isole;Media;440;26;OLS;519,03;0;0;0,0000101;FALSO
Media_Isole;Isole;Media;440;26;SAR(err);516,09;0,44;;0,0000444;FALSO
Media_Isole;Isole;Media;440;26;SDM(mix);509,39;0,71;;0,0157;VERO
Media_Isole;Isole;Media;440;26;GMM(err);;0;;0,0000121;FALSO
Grande_Isole;Isole;Grande;83;26;OLS;121,2;0,72;0,53;0,0126;FALSO
Grande_Isole;Isole;Grande;83;26;SAR(err);119,38;0,56;;0,000491;FALSO
Grande_Isole;Isole;Grande;83;26;SDM(mix);113,22;0,82;;0,26;VERO
Grande_Isole;Isole;Grande;83;26;GMM(err);;0,85;;0,00471;FALSO
